 Vendor #, Name, Address 1, Address 2, City, State, Zip, Telephone, Fax, Email,1099, W-9, Active,Terms, Account, Dept Code
"","1909 Temecula","","","","","",,,"",False,False,True,,724,""
"","305","","","","","",,,"",False,False,True,,,""
"","5/3 Install Loan","","","","","",,,"",False,False,True,,413,""
"","7 Star Food","","","","","",,,"",False,False,True,,724,""
"","76","","","","","",,,"",False,False,True,,731,""
"","777 Liquor","","","","","",,,"",False,False,True,,724,""
"","7-Eleven","","","","","",,,"",False,False,True,,731,""
"","A Dong Restaurant","","","","","",,,"",False,False,True,,724,""
"","Aaa Electric Motor","","","","","",,,"",False,False,True,,615,""
"","Ac Pro","","","","","",,,"",False,False,True,,615,""
"","Ac Top Grill","","","","","",,,"",False,False,True,,724,""
"","Ace Hardware","","","","","",,,"",False,False,True,,615,""
"","Aces-Racing.Com","","","","","",,,"",False,False,True,,750,""
"","Activated Events","","","","","",,,"",False,False,True,,729,""
"","Adobe","","","","","",,,"",False,False,True,,715,""
"","Advance Auto Parts","","","","","",,,"",False,False,True,,731,""
"","Advance Wholesale","","","","","",,,"",False,False,True,,615,""
"","Afe Power","","","","","",,,"",False,False,True,,731,""
"","Alanbertos Mexican Food","","","","","",,,"",False,False,True,,724,""
"","Alarm Metro System","","","","","",,,"",False,False,True,,770,""
"","Alaska Usa Federal","","","","","",,,"",False,False,True,,451,""
"","Albertsons","","","","","",,,"",False,False,True,,726,""
"","Alejandros Mexican Food","","","","","",,,"",False,False,True,,724,""
"","Allied Refrigeration","","","","","",,,"",False,False,True,,600,""
"","Alta Dena Dairy","","","","","",,,"",False,False,True,,724,""
"","Alternative Hose Inc","","","","","",,,"",False,False,True,,600,""
"","Amazon","","","","","",,,"",False,False,True,,615,""
"","Amazon Music","","","","","",,,"",False,False,True,,730,""
"","Amazon Prime","","","","","",,,"",False,False,True,,730,""
"","Amerigas Propane","","","","","",,,"",False,False,True,,615,""
"","Amex","","","","","",,,"",False,False,True,,300,""
"","Amex - 2006 (300)","","","","","",,,"",False,False,True,,300,""
"","Amex - 22006 (300)","","","","","",,,"",False,False,True,,,""
"","Angelos Burgers","","","","","",,,"",False,False,True,,724,""
"","Angels Stadium","","","","","",,,"",False,False,True,,729,""
"","Apola Greek Grill","","","","","",,,"",False,False,True,,724,""
"","Apple","","","","","",,,"",False,False,True,,730,""
"","Applebees","","","","","",,,"",False,False,True,,724,""
"","Arbys","","","","","",,,"",False,False,True,,724,""
"","Archies Corner Market","","","","","",,,"",False,False,True,,726,""
"","Arco","","","","","",,,"",False,False,True,,731,""
"","Arrow Trailer Supplies","","","","","",,,"",False,False,True,,615,""
"","Arrowhead Country","","","","","",,,"",False,False,True,,751,""
"","As Burgers","","","","","",,,"",False,False,True,,724,""
"","Astro Burgers","","","","","",,,"",False,False,True,,724,""
"","At&t","","","","","",,,"",False,False,True,,725,""
"","Autozone","","","","","",,,"",False,False,True,,731,""
"","B.A.D Sushi Restaurant","","","","","",,,"",False,False,True,,724,""
"","Bad Dog Tools","","","","","",,,"",False,False,True,,600,""
"","Baker Distributing","","","","","",,,"",False,False,True,,600,""
"","Bakers","","","","","",,,"",False,False,True,,724,""
"","Barnes & Noble","","","","","",,,"",False,False,True,,726,""
"","Batter Rebellion","","","","","",,,"",False,False,True,,724,""
"","BBQ Chicken","","","","","",,,"",False,False,True,,724,""
"","Bear Oil","","","","","",,,"",False,False,True,,615,""
"","Beaumont Crossr","","","","","",,,"",False,False,True,,905,""
"","Beaumont HS Wrestling","","","","","",,,"",False,False,True,,905,""
"","Best Buy","","","","","",,,"",False,False,True,,726,""
"","Best Lumber And Hardware","","","","","",,,"",False,False,True,,615,""
"","Beverages & More","","","","","",,,"",False,False,True,,724,""
"","Beyond Food Mart","","","","","",,,"",False,False,True,,724,""
"","Beyond The Clouds","","","","","",,,"",False,False,True,,451,""
"","Big Brand","","","","","",,,"",False,False,True,,731,""
"","Big Brand Tires & Service","","","","","",,,"",False,False,True,,731,""
"","Billy Reeds Restaurant","","","","","",,,"",False,False,True,,724,""
"","Bird App","","","","","",,,"",False,False,True,,757,""
"","Bj Clothes","","","","","",,,"",False,False,True,,722,""
"","Bjs Restaurants","","","","","",,,"",False,False,True,,724,""
"","Bk Subs","","","","","",,,"",False,False,True,,724,""
"","Black Bear Diner","","","","","",,,"",False,False,True,,724,""
"","Blu In Cafe Borrego","","","","","",,,"",False,False,True,,724,""
"","Board And Brew","","","","","",,,"",False,False,True,,724,""
"","Boardmanville","","","","","",,,"",False,False,True,,751,""
"","Boot Barn","","","","","",,,"",False,False,True,,722,""
"","Boozehounds","","","","","",,,"",False,False,True,,724,""
"","Border Grill","","","","","",,,"",False,False,True,,724,""
"","Boulevard Burgers","","","","","",,,"",False,False,True,,724,""
"","Bprocessus.Com","","","","","",,,"",False,False,True,,715,""
"","Bravo Burgers","","","","","",,,"",False,False,True,,724,""
"","Brewcaipa Yucaipa","","","","","",,,"",False,False,True,,724,""
"","Broken Yolk Cafe","","","","","",,,"",False,False,True,,724,""
"","Brunt Workwear","","","","","",,,"",False,False,True,,722,""
"","BTIS","","","","","",,,"",False,False,True,,744,""
"","Bubbles By The Beach","","","","","",,,"",False,False,True,,724,""
"","Burger King","","","","","",,,"",False,False,True,,724,""
"","Burger Mania","","","","","",,,"",False,False,True,,724,""
"","Business License","","","","","",,,"",False,False,True,,730,""
"","C2 Food Mart","","","","","",,,"",False,False,True,,724,""
"","Ca Contractors Ins","","","","","",,,"",False,False,True,,744,""
"","Ca Dmv Fee","","","","","",,,"",False,False,True,,751,""
"","Cabelas","","","","","",,,"",False,False,True,,451,""
"","Cabo Surf Shop","","","","","",,,"",False,False,True,,729,""
"","Cactus Taqueria","","","","","",,,"",False,False,True,,724,""
"","Camping World Rv","","","","","",,,"",False,False,True,,757,""
"","Cancun Juice","","","","","",,,"",False,False,True,,724,""
"","Canteen 21","","","","","",,,"",False,False,True,,724,""
"","Canteen Vending","","","","","",,,"",False,False,True,,724,""
"","Canyons Steak House","","","","","",,,"",False,False,True,,724,""
"","Capital One","","","","","",,,"",False,False,True,,310,""
