 Vendor #, Name, Address 1, Address 2, City, State, Zip, Telephone, Fax, Email,1099, W-9, Active,Terms, Account, Dept Code
"","1-800-Got-Junk","","","","","",,,"",False,False,True,,742,""
"","Ad Free For Amazon Digital","","","","","",,,"",False,False,True,,730,""
"","Aiprm","","","","","",,,"",False,False,True,,714,""
"","Amazon","","","","","",,,"",False,False,True,,726,""
"","Amazon Digital","","","","","",,,"",False,False,True,,726,""
"","Amazon Prime","","","","","",,,"",False,False,True,,730,""
"","Amazon Sync Card Payment","","","","","",,,"",False,False,True,,320,""
"","Amazon Synchrony Card - 0416","","","","","",,,"",False,False,True,,,""
"","American Express Blueprint Loan  432011","","","","","",,,"",False,False,True,,404,""
"","American Express Card","","","","","",,,"",False,False,True,,300,""
"","American Express Credit","","","","","",,,"",False,False,True,,300,""
"","American Express Loan 61006","","","","","",,,"",False,False,True,,400,""
"","Angelina'S","","","","","",,,"",False,False,True,,724,""
"","Angels Baseball","","","","","",,,"",False,False,True,,729,""
"","Annual Membership Fee","","","","","",,,"",False,False,True,,730,""
"","Anthem Blue","","","","","",,,"",False,False,True,,705,""
"","Anthem Life","","","","","",,,"",False,False,True,,705,""
"","Aqualani At Westin","","","","","",,,"",False,False,True,,757,""
"","Autozone","","","","","",,,"",False,False,True,,731,""
"","Baja Sharkeez","","","","","",,,"",False,False,True,,724,""
"","Bank of America Credit - 0198","","","","","",,,"",False,False,True,,330,""
"","Barclay Hawiian Card - 0314","","","","","",,,"",False,False,True,,315,""
"","Barclaycard Credit card","","","","","",,,"",False,False,True,,315,""
"","Best Buy","","","","","",,,"",False,False,True,,726,""
"","Budget Rent A Car","","","","","",,,"",False,False,True,,757,""
"","Ca Unemployment Taxes","","","","","",,,"",False,False,True,,703,""
"","Canadas Auto Sales","","","","","",,,"",False,False,True,,731,""
"","CDTFA","","","","","",,,"",False,False,True,,360,""
"","Chase 3154","","","","","",,,"",False,False,True,,499,""
"","Chase Credit 2147","","","","","",,,"",False,False,True,,305,""
"","Chase ink - 2147","","","","","",,,"",False,False,True,,,""
"","Chatgpt Subscription","","","","","",,,"",False,False,True,,730,""
"","Chevron","","","","","",,,"",False,False,True,,731,""
"","Chris The Tint Master","","","","","",,,"",False,False,True,,731,""
"","Chris Winters","","","","","",,,"",False,False,True,,,""
"","Classique World Wide Transportation","","","","","",,,"",False,False,True,,731,""
"","Corporation Service Legal Svcs","","","","","",,,"",False,False,True,,747,""
"","Courtyard San Diego","","","","","",,,"",False,False,True,,757,""
"","Csc Global","","","","","",,,"",False,False,True,,730,""
"","Del Mar Grill","","","","","",,,"",False,False,True,,724,""
"","Delta Air","","","","","",,,"",False,False,True,,757,""
"","Dlr Front Desk","","","","","",,,"",False,False,True,,757,""
"","Dlr Lightning Lane","","","","","",,,"",False,False,True,,729,""
"","Dlr Pool Bar","","","","","",,,"",False,False,True,,757,""
"","Dlr Resort","","","","","",,,"",False,False,True,,757,""
"","DMV","","","","","",,,"",False,False,True,,751,""
"","Duke'S Maui","","","","","",,,"",False,False,True,,724,""
"","Empire Guitar Works","","","","","",,,"",False,False,True,,451,""
"","Exxonmobil","","","","","",,,"",False,False,True,,731,""
"","Fairview Ford","","","","","",,,"",False,False,True,,731,""
"","Fenster & Fenster CPA","","","","","",,,"",False,False,True,,747,""
"","Fidelity Brokerage service Moneyline","","","","","",,,"",False,False,True,,780,""
"","Fidelity Card 6970","","","","","",,,"",False,False,True,,325,""
"","Fidelity Credit Card - 6970","","","","","",,,"",False,False,True,,325,""
"","Fidelity Investments","","","","","",,,"",False,False,True,,780,""
"","Finance Charge","","","","","",,,"",False,False,True,,910,""
"","Finelo","","","","","",,,"",False,False,True,,727,""
"","Fraley Contracti","","","","","",,,"",False,False,True,,999,""
"","Frontier","","","","","",,,"",False,False,True,,753,""
"","FTB","","","","","",,,"",False,False,True,,125,""
"","Futa Taxes Paid","","","","","",,,"",False,False,True,,344,""
"","GDL Paintless Dent Repair","","","","","",,,"",False,False,True,,731,""
"","Glossgenius","","","","","",,,"",False,False,True,,451,""
"","Godaddy.com","","","","","",,,"",False,False,True,,730,""
"","Goto.Com","","","","","",,,"",False,False,True,,714,""
"","Hampton Inn","","","","","",,,"",False,False,True,,757,""
"","Hawaiian Airline","","","","","",,,"",False,False,True,,757,""
"","Hawiian Air","","","","","",,,"",False,False,True,,757,""
"","Heather Winters","","","","","",,,"",False,False,True,,,""
"","Hickory Ranch","","","","","",,,"",False,False,True,,724,""
"","Home Depot","","","","","",,,"",False,False,True,,615,""
"","Hps Global Delivery","","","","","",,,"",False,False,True,,726,""
"","Hula Grill","","","","","",,,"",False,False,True,,724,""
"","Ingram Micro","","","","","",,,"",False,False,True,,714,""
"","Inland Primary Care Inc","","","","","",,,"",False,False,True,,705,""
"","Inspired Travel","","","","","",,,"",False,False,True,,757,""
"","Interest Charge","","","","","",,,"",False,False,True,,910,""
"","Intuit","","","","","",,,"",False,False,True,,730,""
"","Intuit Quickbooks","","","","","",,,"",False,False,True,,730,""
"","Irs Usa tax pymt","","","","","",,,"",False,False,True,,920,""
"","John J Cesario Dds I","","","","","",,,"",False,False,True,,705,""
"","Kaseya.Com","","","","","",,,"",False,False,True,,714,""
