 Vendor #, Name, Address 1, Address 2, City, State, Zip, Telephone, Fax, Email,1099, W-9, Active,Terms, Account, Dept Code
,"""",,,,,,,,,FALSE,FALSE,TRUE,,726,
,123 Farm,,,,,,,,,FALSE,FALSE,TRUE,,729,
,A La Minute,,,,,,,,,FALSE,FALSE,TRUE,,724,
,A-1 Financial,,,,,,,,,FALSE,FALSE,TRUE,,748,
,Aa Inflight Fort Worth Tx,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Abreeze Technology,,,,,,,,,FALSE,FALSE,TRUE,,610,
,Adapt Health,,,,,,,,,FALSE,FALSE,TRUE,,615,
,Adp Fee,,,,,,,,,FALSE,FALSE,TRUE,,712,
,Adp Pay By Pay,,,,,,,,,FALSE,FALSE,TRUE,,712,
,Aesthetic Telehealth,,,,,,,,,FALSE,FALSE,TRUE,,714,
,Alfredos Pizzeria,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Alghotels,,,,,,,,,FALSE,FALSE,TRUE,,757,
,Allergan,,,,,,,,,FALSE,FALSE,TRUE,,600,
,Amazon,,,,,,,,,FALSE,FALSE,TRUE,,615,
,Amazon Music,,,,,,,,,FALSE,FALSE,TRUE,,730,
,American Air,,,,,,,,,FALSE,FALSE,TRUE,,757,
,American Inflight,,,,,,,,,FALSE,FALSE,TRUE,,757,
,Amy Waggle,,,,,,,,,FALSE,FALSE,TRUE,,100,
,An Adapthealth Co,,,,,,,,,FALSE,FALSE,TRUE,,705,
,Apple Store,,,,,,,,,FALSE,FALSE,TRUE,,714,
,Arbys,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Assessor Clerk Recorder,,,,,,,,,FALSE,FALSE,TRUE,,751,
,Assessor Clerk Recorder Fee,,,,,,,,,FALSE,FALSE,TRUE,,717,
,Athletic Integrative,,,,,,,,,FALSE,FALSE,TRUE,,600,
,Avas Flowers,,,,,,,,,FALSE,FALSE,TRUE,,726,
,Babylist,,,,,,,,,FALSE,FALSE,TRUE,,451,
,Bali Hai Restaurant,,,,,,,,,FALSE,FALSE,TRUE,,724,
,Bank of America - 5871,,,,,,,,,FALSE,FALSE,TRUE,,320,
