 Vendor #, Name, Address 1, Address 2, City, State, Zip, Telephone, Fax, Email,1099, W-9, Active,Terms, Account, Dept Code
"","1800 Radiator & AC","","","","","",,,"",False,False,True,,,""
"","24 Hour Fitness","","","","","",,,"",False,False,True,,730,""
"","365 Vending","","","","","",,,"",False,False,True,,724,""
"","76","","","","","",,,"",False,False,True,,631,""
"","A & B Market","","","","","",,,"",False,False,True,,724,""
"","A&a Promotions","","","","","",,,"",False,False,True,,723,""
"","A&A Truck and Trailer","","","","","",,,"",False,False,True,,600,""
"","AA Promotive","","","","","",,,"",False,False,True,,723,""
"","Aaa Redlands","","","","","",,,"",False,False,True,,730,""
"","Ab Smog","","","","","",,,"",False,False,True,,750,""
"","ABR Graphics","","","","","",,,"",False,False,True,,600,""
"","Air & Hose Source","","","","","",,,"",False,False,True,,600,""
"","Albertos Mexican Food","","","","","",,,"",False,False,True,,724,""
"","Alexa`S Cafe Mexican","","","","","",,,"",False,False,True,,724,""
"","AlexaS Cafe Mexican","","","","","",,,"",False,False,True,,724,""
"","Alfredos Pizza And Pasta","","","","","",,,"",False,False,True,,724,""
"","All Pro Collision","","","","","",,,"",False,False,True,,600,""
"","All Valley Enviornmental","","","","","",,,"",False,False,True,,653,""
"","Allan Simmions","","","","","",,,"",False,False,True,,610,""
"","Allan Simmons","","","","","",,,"",False,False,True,,610,""
"","Amazon","","","","","",,,"",False,False,True,,615,""
"","Ameican truck repair","","","","","",,,"",False,False,True,,650,""
"","American Express","","","","","",,,"",False,False,True,,,""
"","American HD Dirrect","","","","","",,,"",False,False,True,,600,""
"","American Truck Bodies","","","","","",,,"",False,False,True,,600,""
"","Americantrucks.Com","","","","","",,,"",False,False,True,,600,""
"","Amex Plum - 72003","","","","","",,,"",False,False,True,,,""
"","Annual Membership Fee","","","","","",,,"",False,False,True,,730,""
"","Apex Web Studios","","","","","",,,"",False,False,True,,714,""
"","Aqua Tech","","","","","",,,"",False,False,True,,600,""
"","Arco","","","","","",,,"",False,False,True,,631,""
"","Aroi Mak Mak","","","","","",,,"",False,False,True,,724,""
"","Around the block tax service","","","","","",,,"",False,False,True,,747,""
"","Arrowhead Country Club","","","","","",,,"",False,False,True,,730,""
"","AT&T","","","","","",,,"",False,False,True,,725,""
"","Atta Inc","","","","","",,,"",False,False,True,,600,""
"","Auto Club","","","","","",,,"",False,False,True,,730,""
"","Auto Exporters","","","","","",,,"",False,False,True,,600,""
"","Auto Gallery Mitsubishi","","","","","",,,"",False,False,True,,600,""
"","Auto net trade","","","","","",,,"",False,False,True,,600,""
"","Automotive Paint Supply","","","","","",,,"",False,False,True,,600,""
"","Autozone","","","","","",,,"",False,False,True,,600,""
"","Axle Surgeons","","","","","",,,"",False,False,True,,600,""
"","Bakers burgers","","","","","",,,"",False,False,True,,724,""
"","Bakersburgers","","","","","",,,"",False,False,True,,724,""
"","Bankcard","","","","","",,,"",False,False,True,,736,""
"","Banleaco Inc","","","","","",,,"",False,False,True,,642,""
"","Bay Truck Center","","","","","",,,"",False,False,True,,600,""
"","BB Diner","","","","","",,,"",False,False,True,,724,""
"","Bernell Hydraulics","","","","","",,,"",False,False,True,,600,""
"","Best Buy","","","","","",,,"",False,False,True,,726,""
"","Best Buy Credit Services","","","","","",,,"",False,False,True,,726,""
"","Betts Company","","","","","",,,"",False,False,True,,600,""
"","Betts Truck Parts","","","","","",,,"",False,False,True,,600,""
"","Birrieria El Tijuanazo","","","","","",,,"",False,False,True,,724,""
"","Bjs Restaurants","","","","","",,,"",False,False,True,,724,""
"","Boot Barn","","","","","",,,"",False,False,True,,722,""
"","Brandens Auto","","","","","",,,"",False,False,True,,600,""
"","Burger Basket","","","","","",,,"",False,False,True,,724,""
"","Burgertown USA","","","","","",,,"",False,False,True,,724,""
"","Burrtec Waste","","","","","",,,"",False,False,True,,653,""
"","C & R Tires","","","","","",,,"",False,False,True,,600,""
"","C&R Tire Service","","","","","",,,"",False,False,True,,600,""
"","Cadmv Fee","","","","","",,,"",False,False,True,,751,""
"","Caliber Collision Centers","","","","","",,,"",False,False,True,,600,""
"","Califonia Auto Glass","","","","","",,,"",False,False,True,,600,""
"","Califonia Lien sales","","","","","",,,"",False,False,True,,999,""
"","California Batteries","","","","","",,,"",False,False,True,,600,""
"","Cantaloupe 2","","","","","",,,"",False,False,True,,724,""
"","Canteen Vending","","","","","",,,"",False,False,True,,724,""
"","Capital Premium","","","","","",,,"",False,False,True,,,""
"","Caprice Cafe","","","","","",,,"",False,False,True,,724,""
"","Carls Jr","","","","","",,,"",False,False,True,,724,""
"","Carl'S Jr","","","","","",,,"",False,False,True,,724,""
"","Carolyns Cafe","","","","","",,,"",False,False,True,,724,""
"","CCTV Micro","","","","","",,,"",False,False,True,,770,""
"","Central Fire","","","","","",,,"",False,False,True,,750,""
"","Cerenza Foods","","","","","",,,"",False,False,True,,999,""
"","Certified Auto Glass","","","","","",,,"",False,False,True,,650,""
"","Chase Ink card Member Services","","","","","",,,"",False,False,True,,453,""
"","Chevron","","","","","",,,"",False,False,True,,631,""
"","Chick-Fil-A","","","","","",,,"",False,False,True,,724,""
"","Circle K","","","","","",,,"",False,False,True,,631,""
