 Vendor #, Name, Address 1, Address 2, City, State, Zip, Telephone, Fax, Email,1099, W-9, Active,Terms, Account, Dept Code
"","7-Eleven","","","","","",,,"",False,False,True,,724,""
"","Adobe","","","","","",,,"",False,False,True,,730,""
"","Aflac","","","","","",,,"",False,False,True,,705,""
"","Agoda","","","","","",,,"",False,False,True,,757,""
"","Airbnb","","","","","",,,"",False,False,True,,757,""
"","Alaska Air","","","","","",,,"",False,False,True,,757,""
"","Alchemy Printing","","","","","",,,"",False,False,True,,726,""
"","Amazon","","","","","",,,"",False,False,True,,726,""
"","Amazon Prime","","","","","",,,"",False,False,True,,730,""
"","America! Lax","","","","","",,,"",False,False,True,,726,""
"","Anatometal Inc","","","","","",,,"",False,False,True,,600,""
"","Anderson Plumbing Heating & Air","","","","","",,,"",False,False,True,,750,""
"","Annual Membership Fee","","","","","",,,"",False,False,True,,730,""
"","Apple","","","","","",,,"",False,False,True,,730,""
"","Apple Store","","","","","",,,"",False,False,True,,726,""
"","Association Of Professional Piercers","","","","","",,,"",False,False,True,,751,""
"","AT&T","","","","","",,,"",False,False,True,,725,""
"","Atinn","","","","","",,,"",False,False,True,,757,""
"","Avis Rent-A-Car","","","","","",,,"",False,False,True,,757,""
"","Bargain Basement Printing","","","","","",,,"",False,False,True,,723,""
"","Baynes Roofing","","","","","",,,"",False,False,True,,750,""
"","Beechers Handmade Ch","","","","","",,,"",False,False,True,,724,""
"","Beshock Ramen &Amp; Sake","","","","","",,,"",False,False,True,,724,""
"","Best Buy","","","","","",,,"",False,False,True,,726,""
"","Birdseye Kitchen","","","","","",,,"",False,False,True,,724,""
"","Blick Art Material","","","","","",,,"",False,False,True,,615,""
"","Blue Ocean Robata & Sushi","","","","","",,,"",False,False,True,,724,""
"","Body Vision","","","","","",,,"",False,False,True,,600,""
"","Boomers Vista","","","","","",,,"",False,False,True,,729,""
"","Bouldin Creek Cafe","","","","","",,,"",False,False,True,,724,""
"","Breceda Landscape","","","","","",,,"",False,False,True,,750,""
"","Brian Seghers - Wire Transfer","","","","","",,,"",False,False,True,,440,""
"","Brick Square","","","","","",,,"",False,False,True,,724,""
"","Broad Street Dough Co","","","","","",,,"",False,False,True,,724,""
